Car Name,Distance,Owner,Fuel,Location,Drive,Type,car_age
Honda City,36222,2,PETROL,MH-03,Manual,Sedan,10
Honda Brio,66201,2,PETROL,MH-12,Manual,HatchBack,12
Hyundai Verna,66427,1,PETROL,TS-07,Manual,Sedan,5
Maruti New Wagon-R,77064,1,CNG,HR-36,Manual,HatchBack,3
Maruti IGNIS,21167,1,PETROL,MH-49,Automatic,HatchBack,5
Nissan Micra Active,81680,1,PETROL,TN-14,Manual,HatchBack,6
Honda Amaze,34578,1,PETROL,RJ-45,Manual,Sedan,6
Toyota YARIS,31428,2,PETROL,CH-01,Automatic,Sedan,6
Hyundai VENUE,20357,2,PETROL,MH-14,Manual,SUV,3
Hyundai GRAND I10 NIOS,18111,1,PETROL,GJ-06,Manual,HatchBack,5
Hyundai NEW SANTRO,11041,1,PETROL,MP-04,Manual,HatchBack,3
Maruti Dzire,74490,1,PETROL,UP-32,Manual,Sedan,4
Hyundai GRAND I10 NIOS,29284,1,PETROL,GJ-01,Automatic,HatchBack,4
Maruti Swift,81694,1,CNG,HR-10,Manual,HatchBack,5
Maruti Dzire,72038,3,DIESEL,MP-09,Manual,Sedan,6
Maruti Swift Dzire,57512,1,PETROL,MH-02,Manual,Sedan,11
Maruti Swift,37732,1,PETROL,MP-09,Manual,HatchBack,5
Maruti Dzire,51133,1,DIESEL,UP-32,Manual,Sedan,6
Renault Duster,47944,1,PETROL,DL-7C,Manual,SUV,5
Ford Ecosport,33493,1,PETROL,KA-01,Automatic,SUV,7
Maruti Swift,21083,1,PETROL,GJ-01,Manual,HatchBack,7
Tata Harrier,44616,1,DIESEL,BR-01,Manual,SUV,4
Maruti Baleno,53219,1,PETROL,GJ-01,Manual,HatchBack,5
Maruti Alto K10,60180,2,PETROL,HR-20,Manual,HatchBack,14
KIA SONET,5758,1,DIESEL,GJ-01,Automatic,SUV,2
Maruti Baleno,89581,1,PETROL,TS-05,Manual,HatchBack,7
Maruti Ciaz,52698,1,PETROL,DL-8C,Manual,Sedan,6
Maruti Swift,47262,1,PETROL,PB-70,Manual,HatchBack,5
Hyundai Grand i10,16634,2,PETROL,KA-51,Manual,HatchBack,7
Honda City,54759,1,PETROL,CH-01,Manual,Sedan,10
Maruti Alto 800,48444,1,PETROL,KA-36,Manual,HatchBack,11
Maruti Swift Dzire,42976,1,PETROL,MH-05,Automatic,Sedan,9
Maruti Swift,52382,1,PETROL,KA-25,Manual,HatchBack,7
Hyundai i10,24918,2,PETROL,MH-02,Manual,HatchBack,12
Tata Tiago,44315,1,PETROL,TS-08,Manual,HatchBack,6
Maruti Vitara Brezza,48451,1,DIESEL,MH-03,Manual,SUV,6
Maruti IGNIS,12699,1,PETROL,TN-07,Manual,HatchBack,2
Maruti Ciaz,24385,1,PETROL,GJ-27,Manual,Sedan,6
Hyundai Grand i10,71337,1,PETROL,GJ-06,Manual,HatchBack,8
Renault Kwid,83219,1,PETROL,MH-02,Manual,HatchBack,8
Maruti Baleno,43655,1,PETROL,KA-03,Manual,HatchBack,8
Honda City,45165,2,PETROL,PB-02,Manual,Sedan,10
Tata PUNCH,7125,1,PETROL,MH-04,Manual,SUV,2
Hyundai Creta,32209,1,PETROL,MH-03,Automatic,SUV,6
Maruti New Wagon-R,85969,1,CNG,DL-9C,Manual,HatchBack,5
Maruti Swift,31286,1,PETROL,TS-09,Automatic,HatchBack,5
Volkswagen Polo,30088,1,PETROL,TS-07,Manual,HatchBack,3
Maruti Alto K10,61108,1,PETROL,CH-01,Manual,HatchBack,9
Renault Duster,93415,1,DIESEL,GJ-27,Manual,SUV,8
Maruti Alto 800,57971,2,PETROL,UP-14,Manual,HatchBack,7
Hyundai Elite i20,76697,3,DIESEL,TN-02,Manual,HatchBack,10
Hyundai VENUE,11066,1,PETROL,UP-16,Manual,SUV,4
Mahindra TUV300,36242,1,DIESEL,UP-14,Automatic,SUV,6
Hyundai i20,46494,2,PETROL,WB-20,Manual,HatchBack,13
Maruti Dzire,71019,2,DIESEL,TS-08,Manual,Sedan,4
Renault TRIBER,14282,1,PETROL,DL-12,Automatic,SUV,4
Tata Tiago,42739,2,PETROL,TN-09,Manual,HatchBack,5
Maruti Swift Dzire,16153,1,PETROL,DL-9C,Manual,Sedan,13
Maruti S PRESSO,5787,1,PETROL,GJ-17,Manual,HatchBack,2
Hyundai i10,63585,1,PETROL,HR-26,Manual,HatchBack,12
Maruti Wagon R 1.0,61132,1,PETROL,AP-29,Manual,HatchBack,11
Honda City,46836,1,PETROL,MP-09,Manual,Sedan,9
Maruti Swift,52802,2,PETROL,KA-05,Manual,HatchBack,10
Volkswagen Polo,47613,1,PETROL,KA-03,Manual,HatchBack,5
Hyundai Grand i10,88880,1,PETROL,MP-04,Manual,HatchBack,9
Toyota Camry,66467,1,PETROL,MH-02,Automatic,Lux_sedan,9
Hyundai Verna,42075,1,PETROL,DL-7C,Manual,Sedan,3
Maruti Ciaz,44348,1,PETROL,TS-08,Automatic,Sedan,9
Maruti Swift,32875,1,PETROL,GJ-06,Manual,HatchBack,6
Hyundai Creta,49538,1,DIESEL,UP-14,Manual,SUV,6
Hyundai Creta,39584,1,PETROL,MH-47,Manual,SUV,9
Honda City,73338,1,PETROL,GJ-05,Manual,Sedan,8
Toyota Corolla Altis,66362,3,PETROL,HR-26,Automatic,Lux_sedan,9
Maruti IGNIS,36248,1,PETROL,KA-51,Manual,HatchBack,7
Renault Duster,56156,1,DIESEL,UP-16,Automatic,SUV,8
Renault Duster,100583,1,DIESEL,HR-26,Manual,SUV,8
Maruti Swift,42059,2,PETROL,KA-04,Automatic,HatchBack,6
Tata Tiago,38575,2,PETROL,KA-01,Automatic,HatchBack,6
Maruti Baleno,20607,2,PETROL,KA-03,Manual,HatchBack,7
Honda Civic,56446,2,PETROL,UP-32,Automatic,Sedan,12
Hyundai GRAND I10 NIOS,17428,1,CNG,DL-7C,Manual,HatchBack,2
Honda Jazz,11365,1,PETROL,TS-13,Automatic,HatchBack,2
Hyundai Creta,52891,1,PETROL,MH-47,Manual,SUV,8
Volkswagen Vento,21275,1,PETROL,MH-48,Manual,Sedan,4
Honda Amaze,44514,1,PETROL,BR-01,Manual,Sedan,5
Maruti Alto K10,30751,1,PETROL,KA-03,Manual,HatchBack,9
Honda Jazz,39284,1,PETROL,GJ-27,Manual,HatchBack,6
Hyundai Grand i10,37965,1,PETROL,GJ-01,Automatic,HatchBack,5
Maruti Swift Dzire,83845,1,PETROL,KA-02,Manual,Sedan,10
KIA SELTOS,57179,1,PETROL,TS-07,Manual,SUV,5
Hyundai Elite i20,94121,2,PETROL,TS-08,Manual,HatchBack,9
Maruti Ciaz,52645,3,PETROL,TN-10,Manual,Sedan,7
Honda Jazz,43025,2,PETROL,TN-18,Manual,HatchBack,7
Maruti Swift,105992,1,DIESEL,MH-04,Manual,HatchBack,12
Tata Tiago,30359,2,PETROL,TS-08,Manual,HatchBack,3
Hyundai Grand i10,26678,2,PETROL,TS-13,Manual,HatchBack,7
Maruti Wagon R 1.0,15993,1,PETROL,KA-04,Manual,HatchBack,7
Ford Ecosport,67889,1,PETROL,KA-02,Automatic,SUV,8
Hyundai NEW I20,19944,1,PETROL,GJ-01,Manual,HatchBack,2
Ford Ecosport,37983,1,PETROL,KA-04,Manual,SUV,6
Maruti Ritz,73946,1,PETROL,MH-14,Manual,HatchBack,13
Hyundai Creta,79634,1,PETROL,GJ-01,Automatic,SUV,7
Hyundai i10,91279,2,PETROL,KA-03,Automatic,HatchBack,11
Hyundai Creta,27959,1,PETROL,HR-26,Manual,SUV,4
Maruti Baleno,23851,2,PETROL,GJ-16,Automatic,HatchBack,3
Volkswagen Vento,22192,2,PETROL,TS-07,Manual,Sedan,4
Maruti Alto,42839,1,PETROL,GJ-03,Manual,HatchBack,5
Maruti Swift,99428,3,CNG,MH-15,Manual,HatchBack,12
Hyundai Creta,93177,1,PETROL,WB-12,Manual,SUV,9
Tata NEXON,21009,1,PETROL,GJ-01,Automatic,SUV,2
Renault Kwid,10916,2,PETROL,KA-51,Automatic,HatchBack,4
Hyundai GRAND I10 NIOS,6327,1,PETROL,TS-09,Automatic,HatchBack,5
Maruti S Cross,113633,1,DIESEL,MH-43,Manual,SUV,7
Tata Tiago,68766,1,PETROL,RJ-45,Manual,HatchBack,5
Renault Kiger,48938,2,PETROL,KA-03,Automatic,HatchBack,3
Maruti Ciaz,63155,2,DIESEL,TN-07,Manual,Sedan,8
Skoda Octavia,38959,1,PETROL,MH-09,Automatic,Lux_sedan,8
Honda City,40586,1,PETROL,GJ-27,Manual,Sedan,7
Maruti Wagon R 1.0,43528,2,PETROL,TS-08,Manual,HatchBack,6
Volkswagen Polo,50781,2,PETROL,KA-02,Automatic,HatchBack,6
Honda Brio,34105,1,PETROL,DL-3C,Manual,HatchBack,9
Maruti Alto K10,26520,2,PETROL,UP-32,Automatic,HatchBack,5
Hyundai Grand i10,44690,1,PETROL,MH-06,Manual,HatchBack,6
Hyundai Grand i10,40570,1,PETROL,TS-09,Automatic,HatchBack,7
Maruti Swift,51622,1,PETROL,HR-51,Manual,HatchBack,5
Ford FREESTYLE,63517,1,DIESEL,UP-16,Manual,SUV,6
Maruti Vitara Brezza,68272,1,DIESEL,PB-91,Manual,SUV,5
Hyundai Grand i10,98211,2,PETROL,KA-19,Manual,HatchBack,10
Ford Ecosport,34446,2,PETROL,MH-02,Automatic,SUV,5
Maruti Dzire,91412,2,PETROL,TN-14,Automatic,Sedan,7
Hyundai NEW I20,60157,1,PETROL,MH-14,Manual,HatchBack,3
Maruti Baleno,63801,1,PETROL,DL-9C,Manual,HatchBack,7
Maruti Celerio,77796,2,PETROL,MH-01,Manual,HatchBack,10
Hyundai Grand i10,49809,1,PETROL,GJ-06,Manual,HatchBack,7
